,Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,Rec,Tgt,ReceivingYds,ReceivingTD,RushingAtt,RushingYds,RushingTD,FantasyPoints
38,Dak Prescott,QB,DAL,212,2,0,23,15,0,0,0,0,7,12,0,17.68
39,Dallas Goedert,TE,PHI,0,0,0,0,0,5,6,55,0,0,0,0,10.5
40,Dalvin Cook,RB,MIN,0,0,0,0,0,0,0,0,0,9,27,0,2.7
41,Damiere Byrd,WR,ARI,0,0,0,0,0,6,6,86,0,0,0,0,14.6
42,Damion Ratley,WR,CLE,0,0,0,0,0,2,2,33,0,0,0,0,5.3
43,Danny Amendola,WR,DET,0,0,0,0,0,8,13,102,0,0,0,0,18.2
44,Darius Slayton,WR,NYG,0,0,0,0,0,2,3,31,1,0,0,0,11.1
45,Darren Waller,TE,OAK,0,0,0,0,0,8,10,122,0,0,0,0,20.2
46,Darwin Thompson,RB,KAN,0,0,0,0,0,0,0,0,0,8,38,0,3.8
47,Davante Adams,WR,GNB,0,0,0,0,0,7,13,103,1,0,0,0,23.3
48,David Blough,QB,DET,260,0,2,43,24,0,0,0,0,5,19,0,8.3
49,David Johnson,RB,ARI,0,0,0,0,0,0,0,0,0,3,6,0,0.6
50,David Montgomery,RB,CHI,0,0,0,0,0,0,0,0,0,14,39,0,3.9
51,DeAndre Hopkins,WR,HOU,0,0,0,0,0,6,8,119,0,0,0,0,17.9
52,DeAndre Washington,RB,OAK,0,0,0,0,0,0,0,0,0,6,16,0,1.6
53,DeVante Parker,WR,MIA,0,0,0,0,0,4,7,72,2,0,0,0,23.2
54,Dede Westbrook,WR,JAX,0,0,0,0,0,0,0,0,0,1,7,0,0.7
55,Deebo Samuel,WR,SFO,0,0,0,0,0,1,3,29,0,1,8,0,4.7
56,Derek Carr,QB,OAK,267,1,0,36,22,0,0,0,0,1,12,0,15.879999999999999
57,Derrick Henry,RB,TEN,0,0,0,0,0,0,0,0,0,21,86,0,8.6
58,Deshaun Watson,QB,HOU,243,2,2,27,19,0,0,0,0,7,32,0,16.919999999999998
59,Devin Singletary,RB,BUF,0,0,0,0,0,0,0,0,0,21,87,0,8.7
60,Devlin Hodges,QB,PIT,202,1,4,38,23,0,0,0,0,0,0,0,4.08
61,Devonta Freeman,RB,ATL,0,0,0,0,0,0,0,0,0,12,39,0,3.9
62,Devontae Booker,RB,DEN,0,0,0,0,0,0,0,0,0,1,5,0,0.5
63,Dion Lewis,RB,TEN,0,0,0,0,0,0,0,0,0,3,10,0,1.0
64,Diontae Johnson,WR,PIT,0,0,0,0,0,5,7,62,0,0,0,0,11.2
65,Drew Brees,QB,NOR,307,4,0,30,29,0,0,0,0,0,0,0,28.28
66,Drew Lock,QB,DEN,208,0,1,40,18,0,0,0,0,0,0,0,6.32
67,Dwayne Haskins,QB,WAS,261,2,0,28,19,0,0,0,0,3,26,0,21.04
68,Dwayne Washington,RB,NOR,0,0,0,0,0,0,0,0,0,3,20,0,2.0
69,Eli Manning,QB,NYG,283,2,3,28,20,0,0,0,0,0,0,0,13.32
70,Ezekiel Elliott,RB,DAL,0,0,0,0,0,3,4,43,0,24,117,2,31.0
71,Frank Gore,RB,BUF,0,0,0,0,0,0,0,0,0,10,15,0,1.5
72,Gardner Minshew,QB,JAX,201,2,0,29,17,0,0,0,0,5,27,0,18.74
73,George Kittle,TE,SFO,0,0,0,0,0,13,17,134,0,0,0,0,26.4
74,Giovani Bernard,HB,CIN,0,0,0,0,0,0,0,0,0,5,27,0,2.7
75,Golden Tate,WR,NYG,0,0,0,0,0,1,4,51,1,0,0,0,12.1
76,Greg Ward,WR,PHI,0,0,0,0,0,7,9,61,1,0,0,0,19.1
77,Gus Edwards,RB,BAL,0,0,0,0,0,0,0,0,0,5,35,0,3.5
78,Hunter Henry,TE,LAC,0,0,0,0,0,2,2,29,0,0,0,0,4.9
79,Jacoby Brissett,QB,IND,165,0,0,34,18,0,0,0,0,1,7,0,7.3
80,Jake Kumerow,WR,GNB,0,0,0,0,0,1,1,49,0,0,0,0,5.9
81,Jalen Richard,RB,OAK,0,0,0,0,0,0,0,0,0,1,11,0,1.1
82,Jamaal Williams,RB,GNB,0,0,0,0,0,0,0,0,0,8,26,0,2.6
83,Jameis Winston,QB,TAM,458,4,1,42,28,0,0,0,0,0,0,0,32.32
84,James Conner,RB,PIT,0,0,0,0,0,0,0,0,0,8,42,0,4.2
85,James Washington,WR,PIT,0,0,0,0,0,5,11,83,0,0,0,0,13.3
86,James White,RB,NWE,0,0,0,0,0,3,4,49,1,3,13,0,15.200000000000001
87,Jamison Crowder,WR,NYJ,0,0,0,0,0,6,11,90,2,0,0,0,27.0
88,Jared Cook,TE,NOR,0,0,0,0,0,4,4,54,0,0,0,0,9.4
89,Jared Goff,QB,LAR,284,2,1,51,33,0,0,0,0,0,0,0,17.36
90,Jason Witten,TE,DAL,0,0,0,0,0,4,5,36,1,0,0,0,13.6
91,Javorius Allen,RB,NYG,0,0,0,0,0,0,0,0,0,8,28,1,8.8
92,Jesse James,TE,DET,0,0,0,0,0,3,5,31,0,0,0,0,6.1
93,Jimmy Garoppolo,QB,SFO,200,1,0,34,22,0,0,0,0,2,6,0,12.6
94,Joe Mixon,HB,CIN,0,0,0,0,0,0,0,0,0,25,136,0,13.6
95,John Brown,WR,BUF,0,0,0,0,0,7,10,99,0,0,0,0,16.9
96,Johnny Hekker,P,LAR,5,0,0,1,1,0,0,0,0,0,0,0,0.2
97,Jonnu Smith,TE,TEN,0,0,0,0,0,5,5,60,0,1,57,0,16.7
98,Jordan Wilkins,RB,IND,0,0,0,0,0,0,0,0,0,3,10,1,7.0
99,Josh Allen,QB,BUF,139,1,1,25,13,0,0,0,0,7,28,1,16.36
100,Josh Ferguson,RB,WAS,0,0,0,0,0,0,0,0,0,3,9,0,0.9
101,Josh Gordon,WR,SEA,0,0,1,1,0,1,1,58,0,0,0,0,4.8
102,Josh Jacobs,RB,OAK,0,0,0,0,0,0,0,0,0,24,89,0,8.9
103,Josh Reynolds,WR,LAR,0,0,0,0,0,2,4,36,0,0,0,0,5.6
